Pessoa | Atividade | Sensor1 | Sensor2 | Sensor3 | Sensor4 | Sensor5
------------------------------------------------------------------------------------------
     1 |         1 | (214, 110) | (214, 110) | (214, 110) | (212, 110) | (209, 110)
     1 |         2 | (111, 110) | (111, 110) | (111, 110) | (111, 110) | (111, 110)
     1 |         3 | (111, 110) | (111, 110) | (111, 110) | (114, 110) | (111, 110)
     1 |         4 | (177, 110) | (169, 110) | (174, 110) | (177, 110) | (179, 110)
     1 |         5 | (184, 110) | (184, 110) | (187, 110) | (187, 110) | (187, 110)
     1 |         6 | (119, 110) | (127, 110) | (119, 110) | (122, 110) | (122, 110)
     1 |         7 | (59, 110) | (54, 110) | (56, 110) | (56, 110) | (56, 110)
     1 |         8 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (6, 110)
     1 |         9 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (6, 110)
     1 |        10 | (6, 110) | (6, 110) | (6, 110) | (4, 110) | (6, 110)
     1 |        11 | (6, 110) | (6, 110) | (9, 110) | (6, 110) | (6, 110)
     1 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     1 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
     1 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     1 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     1 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     2 |         1 | (202, 110) | (204, 110) | (202, 110) | (207, 110) | (209, 110)
     2 |         2 | (109, 110) | (109, 110) | (109, 110) | (109, 110) | (111, 110)
     2 |         3 | (109, 110) | (109, 110) | (109, 110) | (109, 110) | (81, 110)
     2 |         4 | (184, 110) | (184, 110) | (184, 110) | (187, 110) | (199, 110)
     2 |         5 | (192, 110) | (189, 110) | (187, 110) | (189, 110) | (197, 110)
     2 |         6 | (122, 110) | (122, 110) | (124, 110) | (122, 110) | (106, 110)
     2 |         7 | (59, 110) | (59, 110) | (59, 110) | (56, 110) | (51, 110)
     2 |         8 | (9, 110) | (9, 110) | (9, 110) | (6, 110) | (4, 110)
     2 |         9 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (6, 110)
     2 |        10 | (9, 110) | (9, 110) | (6, 110) | (9, 110) | (6, 110)
     2 |        11 | (6, 110) | (6, 110) | (4, 110) | (6, 110) | (9, 110)
     2 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     2 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
     2 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     2 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     2 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     3 |         1 | (214, 110) | (212, 110) | (217, 110) | (229, 110) | (217, 110)
     3 |         2 | (111, 110) | (109, 110) | (111, 110) | (109, 110) | (109, 110)
     3 |         3 | (111, 110) | (109, 110) | (111, 110) | (114, 110) | (111, 110)
     3 |         4 | (182, 110) | (182, 110) | (182, 110) | (177, 110) | (179, 110)
     3 |         5 | (187, 110) | (189, 110) | (184, 110) | (177, 110) | (189, 110)
     3 |         6 | (116, 110) | (116, 110) | (116, 110) | (116, 110) | (119, 110)
     3 |         7 | (56, 110) | (56, 110) | (56, 110) | (56, 110) | (59, 110)
     3 |         8 | (6, 110) | (9, 110) | (6, 110) | (9, 110) | (4, 110)
