person_id,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,activity_id
1,0.04739,0.29101,0.12635,0.14175,-0.2011,-0.20345,-0.17877,-0.24709,0.00798,0.13822,1
1,0.00767,0.1152,0.16478,0.13852,0.01676,-0.23477,-0.20371,-0.15373,0.11888,0.1475,1
1,-0.04161,0.35296,0.01508,0.25821,0.06702,-0.27179,-0.10473,-0.10896,-0.02775,0.04581,1
1,0.07295,0.09484,0.07962,0.10687,-0.06248,-0.15862,-0.23504,-0.02209,0.08618,0.14813,1
1,-0.06895,0.28765,0.29549,0.40361,0.00458,-0.00461,-0.17086,-0.12941,-0.12923,0.24094,1
1,-0.05716,0.12086,0.21197,0.10621,-0.18349,-0.25175,-0.12327,-0.06597,0.09703,0.18955,1
1,0.09881,0.19959,0.19876,0.24587,-0.05716,-0.25245,-0.09436,-0.00605,-0.12483,0.23927,1
1,-0.16648,0.28561,0.12132,0.20339,-0.09945,-0.14537,-0.35277,-0.15305,0.03198,0.27478,1
1,0.22275,0.2398,0.24345,0.01765,-0.18518,-0.16269,-0.20011,-0.05966,0.11382,0.21782,1
1,-0.09805,0.27394,0.20201,0.02035,-0.09012,-0.32456,-0.24694,-0.04081,0.01589,0.09852,1
1,0.02813,0.23362,0.07631,0.00932,-0.04124,-0.31247,-0.01674,-0.12656,-0.03675,0.10579,1
1,0.0109,0.13326,0.00067,0.23288,-0.06076,-0.19298,-0.12805,-0.21197,-0.01662,0.23598,1
1,0.058,0.22734,0.20028,0.07758,0.07891,-0.08627,-0.45816,0.04631,0.28031,0.31602,1
1,0.04819,0.12641,0.2794,0.03496,-0.03401,-0.19752,-0.08481,-0.13581,0.02534,0.23315,1
1,0.26815,0.20579,0.16316,0.1777,-0.00295,-0.29284,-0.25842,0.0177,0.11757,-0.04928,1
1,0.12806,0.29257,0.11912,0.1547,0.10737,-0.16029,-0.26544,-0.13923,0.08117,0.2377,1
1,0.09119,0.2522,0.18612,0.10002,0.01157,-0.30852,-0.18994,-0.07138,0.17698,0.17937,1
1,0.15521,0.31429,0.01365,0.19374,-0.18844,-0.31342,-0.48657,-0.1572,0.08942,0.16569,1
1,0.04859,0.09463,0.28304,0.1676,-0.05303,-0.39454,0.03101,-0.05706,0.1488,0.05605,1
1,0.09858,0.24895,0.1798,0.1538,0.03031,-0.34196,-0.10888,-0.02715,0.09925,0.05053,1
1,0.25252,0.24889,0.01301,0.03706,-0.07181,-0.15855,-0.20409,-0.02722,0.31643,0.36387,1
1,0.01434,0.15099,0.17754,-0.11878,-0.24343,-0.37285,-0.30343,0.08284,0.02376,0.10797,1
1,0.20225,0.16709,0.22773,-0.02198,-0.29416,-0.16525,-0.34101,-0.10189,0.04067,0.23155,1
1,0.06299,0.20045,0.02691,0.24556,-0.23859,-0.09308,-0.16798,-0.03143,0.15402,0.02519,1
1,0.21976,0.1632,0.30098,0.02506,-0.16057,-0.34342,-0.25649,0.00205,-0.00767,0.01523,1
1,0.04182,0.29923,0.35494,-0.03293,-0.28246,-0.24954,-0.15842,0.02298,0.34104,0.23792,1
1,0.2975,0.16974,0.18222,-0.02987,-0.19996,-0.24238,-0.20163,-0.08982,0.07703,0.32571,1
1,0.34757,0.16686,0.13777,0.07647,0.18245,-0.20829,-0.07295,0.13044,0.17066,0.30933,1
1,0.20125,0.32049,0.06331,0.03901,-0.09235,-0.17053,-0.05305,0.02611,0.02597,0.27637,1
1,0.05628,0.14769,0.12133,0.00201,-0.29897,-0.10594,-0.27874,0.14386,0.0321,0.34582,1
1,0.14578,0.04625,0.05522,0.14035,-0.10376,-0.22577,-0.3812,0.13125,0.33567,0.38669,1
1,0.09104,0.2563,0.20497,-0.15049,-0.13452,-0.11091,-0.07931,-0.11337,0.06631,0.29708,1
1,0.2197,-0.00741,-0.09377,-0.01085,-0.21538,-0.24784,-0.19302,0.1016,0.16677,0.24477,1
1,0.02593,-0.11855,0.26029,0.20567,-0.19442,-0.19293,-0.11548,0.17618,0.24906,0.26746,1
1,0.16937,0.2236,-6e-05,-0.05244,-0.07519,-0.24094,-0.13945,-0.10352,0.20836,0.0714,1
1,0.19635,0.19843,-0.03459,0.08742,-0.18374,-0.03107,0.00808,-0.06842,0.08818,0.09995,1
1,0.01215,0.17438,0.27989,-0.21644,-0.0856,-0.13976,-0.08005,0.09827,0.06038,0.29275,1
1,0.11921,-0.03001,0.13694,-0.11477,-0.03825,-0.24454,-0.12664,0.06927,0.14739,0.20552,1
1,0.26172,0.10845,0.05663,-0.13245,-0.03368,-0.28525,-0.14114,-0.02432,0.14654,0.14134,1
1,0.22675,0.11003,-0.01291,-0.09695,-0.2603,-0.3479,-0.15467,-0.1249,0.35325,0.06486,1
1,0.11884,0.17267,0.28625,-0.21948,-0.16927,-0.10931,-0.14876,-0.07053,0.17268,0.36573,1
1,0.12478,0.35541,0.13903,0.07149,-0.16449,-0.26023,0.05072,0.07428,0.20301,0.29255,1
1,0.28155,0.29172,-0.0266,-0.12076,-0.25479,-0.28834,-0.19568,-0.01006,0.22273,0.25988,1
1,0.19162,0.16634,0.23125,-0.07144,-0.09808,-0.26588,-0.06233,0.19649,-0.06909,0.14344,1
1,0.25369,0.3286,0.11919,-0.06253,-0.03326,-0.07992,-0.18574,0.07913,0.23033,0.37918,1
1,0.28334,0.19521,0.116,-0.26104,-0.09987,-0.141,0.02723,0.05824,0.20953,0.15744,1
1,0.08421,0.14346,-0.09289,0.0137,-0.41651,-0.00047,-0.26545,0.22775,0.10821,0.25979,1
1,0.12594,0.36906,0.08841,0.02454,-0.19358,-0.16639,-0.02243,0.02996,0.07315,0.07152,1
1,0.2083,0.15068,-0.1356,-0.03655,-0.32507,-0.31558,-0.08315,-0.00216,0.21547,0.39689,1
1,0.16722,0.09133,0.09203,-0.17033,-0.20276,-0.16573,-0.0774,0.09847,0.22434,0.357,1
1,-0.02529,0.16691,0.30471,0.20127,-0.03582,-0.06398,-0.30515,-0.17684,-0.07711,0.21179,1
1,0.12441,0.18031,0.22549,0.06277,-0.07571,-0.2773,-0.43563,-0.18937,-0.02436,0.37526,1
1,0.16718,0.21725,0.4262,0.28536,-0.21165,-0.05494,-0.14661,-0.17521,-0.13062,0.22122,1
1,-0.19157,0.16314,0.15571,0.0163,0.10254,-0.16942,-0.20002,-0.0514,0.01546,0.21043,1
1,0.10335,0.22547,0.24554,0.31632,0.10243,-0.17737,-0.30791,-0.07414,0.04335,0.33969,1
1,0.12593,0.24861,0.21762,0.04617,-0.04698,-0.12451,-0.38929,-0.00957,0.23389,-0.0223,1
1,-0.10744,0.19845,0.15732,0.15549,-0.03975,-0.27786,-0.08674,-0.08295,-0.02339,0.32598,1
1,-0.01288,0.05447,0.23305,0.16029,0.01523,-0.10902,-0.16309,-0.07742,-0.01941,0.11058,1
1,0.11756,0.20607,0.29571,-0.05026,-0.0934,0.00897,-0.15843,-0.09091,0.11411,0.40257,1
1,0.24845,0.02673,0.09148,-0.04546,-0.12336,-0.17919,-0.18833,-0.26893,-0.13809,0.1082,1
1,0.14556,0.29656,0.38183,0.108,0.02887,-0.08653,-0.26094,-0.07245,0.11982,0.09661,1
1,0.22342,0.18636,0.21854,0.01177,-0.13715,-0.40989,-0.20432,0.14406,-0.04265,0.48786,1
1,0.20586,0.14549,0.21102,0.08821,0.10618,-0.14114,-0.09009,-0.0659,0.05324,0.22549,1
1,0.02893,0.05011,0.28798,-0.05325,-0.09651,-0.23932,-0.14228,0.0596,0.19012,0.26257,1
1,0.01178,0.17934,0.17188,0.04492,-0.11501,-0.2406,-0.25215,0.00324,-0.0307,0.12474,1
1,-0.07848,0.34148,0.12322,0.15306,-0.03233,-0.06804,-0.22388,-0.18174,-0.07571,-0.07854,1
1,0.10105,0.27959,0.24798,-0.07102,0.01897,-0.27186,-0.29151,-0.15402,0.09275,0.05357,1
1,0.0862,0.24697,0.30936,0.09448,-0.22387,-0.18914,-0.30466,-0.18867,-0.04637,0.0129,1
1,0.03813,0.31877,0.42197,0.0144,0.01377,-0.24534,-0.36139,-0.00166,0.11832,0.38768,1
1,-0.05375,0.48722,0.35306,0.06479,-0.12958,-0.27919,-0.18291,-0.08498,0.1511,0.17818,1
1,0.24603,0.22172,0.16565,0.1638,-0.26679,-0.17511,-0.18878,-0.20246,-0.06631,0.31025,1
1,0.20557,0.22794,0.36033,0.10022,0.01569,-0.16865,-0.21624,-0.16188,0.04894,0.18497,1
1,0.25028,0.28901,0.2189,0.13784,-0.06123,-0.18582,-0.33574,0.06307,0.06812,0.32087,1
1,0.2371,0.14622,0.27793,0.00943,-0.15408,-0.18748,-0.15451,-0.04167,-0.01485,0.20108,1
1,0.35097,-0.06411,0.26691,0.14589,-0.25895,-0.26124,-0.28001,0.14522,0.23342,0.32944,1
1,0.13964,0.34644,0.17598,0.17073,-0.14245,-0.28316,0.00429,-0.03689,0.0377,0.12427,1
1,0.0413,0.30048,0.16368,0.25921,-0.01334,-0.19032,-0.03317,-0.07897,-0.05352,0.11708,1
1,0.15098,0.19445,0.25265,0.01155,-0.06145,-0.06661,-0.18298,0.03151,-0.03922,0.20431,1
1,0.01727,0.23176,0.19035,0.04185,-0.18848,0.01261,-0.29355,-0.1515,0.30597,0.14681,1
1,0.05012,0.44792,0.26176,-0.0463,-0.12284,-0.02304,-0.09402,0.11547,0.22507,0.31066,1
1,0.1526,0.21903,0.18622,0.08115,-0.17696,-0.20569,-0.19055,0.00387,0.02353,0.47849,1
1,0.07927,0.18187,0.07383,0.06382,-0.17217,-0.3144,-0.09007,0.07691,0.14588,0.15165,1
1,0.37552,0.25201,0.02448,0.13821,-0.24199,0.05618,-0.14393,0.10453,-0.05159,0.08959,1
1,0.29355,0.24964,0.35217,0.03987,-0.14563,-0.0465,-0.04692,-0.01098,0.05075,-0.0193,1
1,0.12004,0.09894,0.40365,-0.07913,-0.23158,-0.3697,-0.17051,-0.05236,0.33758,0.23442,1
1,0.16647,0.20369,0.21836,-0.06476,-0.10064,-0.05576,-0.09374,-0.00545,0.07201,0.18964,1
1,0.22711,0.06334,0.21867,-0.00419,-0.18572,-0.28254,-0.18315,0.08468,0.15798,0.16648,1
1,0.22099,0.26672,0.00629,0.02679,0.07604,-0.16894,-0.3011,0.04809,-0.00895,0.53264,1
1,0.40093,0.14848,-0.09776,-0.12358,-0.19546,-0.39127,-0.13371,0.01699,0.18987,0.23804,1
1,0.08391,0.12878,0.12689,-0.10421,-0.08972,-0.21053,0.06416,0.12316,0.29084,0.22737,1
1,0.19921,0.38616,0.07996,0.00823,-0.2101,-0.23989,-0.23468,-0.0278,0.09065,0.27246,1
1,0.29038,0.20232,0.13612,-0.06701,-0.26744,-0.12557,-0.04791,-0.13749,0.15805,0.12359,1
1,0.15004,0.14339,0.10383,-0.09003,-0.22425,-0.0997,-0.05275,-0.01335,0.13358,0.25961,1
1,0.24083,0.14857,0.08031,0.1224,-0.25044,-0.01786,0.00666,0.23482,0.12888,0.19209,1
1,0.1494,0.32,0.04211,0.00564,-0.12649,-0.21212,0.03099,0.07825,0.27773,0.15785,1
1,0.12439,0.27868,0.13707,-0.04832,-0.2311,-0.05065,-0.20565,-0.04449,0.29095,0.29158,1
1,0.23439,0.17489,0.13928,0.09432,0.05254,-0.36933,-0.13093,0.02959,0.36167,-0.04444,1
