Fold,kNN,C4.5,SVM,ANN
0,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
1,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
2,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
3,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
4,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
5,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
6,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
7,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
8,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
9,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
10,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
11,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
12,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
13,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
14,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
15,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
16,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
17,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
18,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
19,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
20,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
21,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
22,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
