Fold,kNN,C4.5,SVM,ANN
0,[3],[3],[3],[3 2 0]
1,[3],[3],[3],[3]
2,[3],[3],[3],[3 2 0]
3,[3],[3],[3],[3 2 0]
4,[3],[3],[3],[3]
5,[3],[3],[3],[3 2 0]
6,[3],[3],[3],[3]
7,[3],[3],[3],[3 2 0]
8,[3],[3],[3],[3]
9,[3],[3],[3],[3 2 0]
10,[3],[3],[3],[3]
11,[3],[3],[3],[3]
12,[3],[3],[3],[3]
13,[3],[3],[3],[3 2 0]
14,[3],[3],[3],[3]
15,[3],[3],[3],[3 2 0]
16,[2],[2 3],[2],[2 3 0]
17,[3],[3],[3],[3 2 0]
18,[3],[3],[3],[3 2 0]
19,[3],[3],[3 2 0],[3 2 0]
20,[3],[3],[3],[3 2 0]
21,[3],[3],[3],[3]
22,[3],[3],[3],[3]
23,[3],[3],[3 2 0],[3 2 0]
24,[3],[3],[3],[3]
25,[3],[3],[3],[3 2 0]
26,[3],[3],[3],[3]
27,[3],[3],[3],[3]
28,[3],[3],[3],[3 2 0]
29,[3],[3],[3],[3 2 0]
30,[3],[3],[3],[3]
31,[3],[3],[3],[3]
32,[3],[3],[3],[3 2 0]
33,[3],[3],[3],[3 2 0]
34,[3],[3],[3],[3]
35,[3],[3],[3],[3 2 0]
36,[3],[3],[3],[3]
37,[3],[3],[3],[3 2 0]
38,[3],[3],[3],[3]
39,[3],[3],[3],[3]
40,[3],[3],[3],[3]
41,[3],[3],[3],[3]
42,[3],[3],[3],[3 2 0]
43,[3],[3],[3],[3]
44,[2],[2],[2],[2]
45,[3 2],[3 2],[3 2],[3 2]
46,[3],[3],[3],[3]
47,[3],[3],[3],[3 2 0]
48,[3],[3],[3],[3 2 0]
49,[3 2 0 1],[3 2],[3],[3]
50,[3],[3],[3],[3 2 0]
51,[3],[3],[3],[3 2 0]
52,[3],[3],[3],[3]
53,[3],[3],[3],[3 2 0]
54,[3],[3],[3],[3]
55,[3],[3],[3],[3 2 0]
56,[3],[3],[3 2 0 1],[3 2 0]
57,[3],[3],[3],[3]
58,[3],[3],[3],[3 2 0]
59,[3],[3],[3],[3]
60,[3 2],[3 2],[3 2],[3 2 0]
61,[3],[3],[3 2 0 1],[3 2 0]
62,[3],[3],[3],[3]
63,[3 2 0],[3],[3 2 0],[3]
64,[2 3],[2 3],[2],[2 3 0]
65,[3],[3],[3],[3 2 0]
66,[3],[3],[3],[3 2 0]
67,[3],[3],[3],[3 2 0]
68,[3],[3 2],[3],[3]
69,[3],[3],[3],[3]
70,[3],[3],[3],[3 2 0]
71,[3],[3],[3],[3 2 0]
72,[3],[3],[3],[3 2 0]
73,[3],[3 2],[3],[3]
74,[3],[3],[3],[3 2 0]
75,[3],[3],[3],[3 2 0]
76,[3],[3],[3],[3 2 0]
77,[3],[3],[3],[3]
78,[3],[3],[3],[3 2 0]
79,[3],[3],[3],[3]
80,[2],[2],[2],[2 3 0]
81,[3 2 0 1],[3],[3],[3 2 0]
82,[3],[3],[3],[3]
83,[3],[3],[3],[3]
84,[3],[3],[3],[3]
85,[3],[3],[3],[3 2 0]
86,[3],[3 2],[3 2 0],[3 2 0]
87,[3],[3],[3],[3 2 0]
88,[3],[3],[3],[3]
89,[3],[3],[3],[3]
90,[3 2 0 1],[3],[3 2 0 1],[3 2 0 1]
91,[3],[3],[3],[3]
92,[3],[3],[3],[3]
93,[3 2],[3 2],[3 2],[3 2 0]
94,[3 2],[3 2 0 1],[3 2],[3 2 0]
95,[3 2 0],[3],[3 2],[3 2 0]
96,[3],[3],[3],[3 2 0]
97,[3],[3],[3],[3]
98,[3],[3],[3],[3]
99,[3],[3],[3],[3 2 0]
